age_group,employment_status,credit_score,diff_income_to_expenses,debt_to_income_ratio,loan_approval_status
Middle Adult,Employed,807,3045.083333333333,0.06446881874775716,1
Middle Adult,Employed,772,5131.166666666666,0.20784613912544253,1
Middle Adult,Self-Employed,795,5467.416666666667,0.30979571457406013,1
Middle Age,Unemployed,744,8304.833333333334,0.0805519740170717,1
Early Retirement,Self-Employed,473,775.5,0.22675004342539518,0
Middle Adult,Self-Employed,753,4634.333333333333,0.28956422018348627,0
Early Retirement,Employed,578,3520.166666666667,0.2266808473942913,0
Middle Age,Self-Employed,486,958.6666666666665,0.1032567465048228,0
Middle Age,Employed,776,382.25,0.4870087889430553,1
Middle Age,Employed,795,4521.583333333333,0.29915236997355393,1
Middle Adult,Unemployed,393,712.75,0.3379616858237548,0
Middle Age,Employed,343,2801.833333333333,0.10978490390465624,1
Middle Age,Employed,364,1142.0,0.004115513392857143,1
Middle Adult,Employed,500,-54.25,0.23401894344707327,0
Middle Adult,Employed,773,4973.666666666667,0.11574035669846537,1
Middle Age,Self-Employed,744,6817.916666666666,0.016655872882670047,1
Middle Age,Self-Employed,754,6895.916666666666,0.022367135840120303,1
Middle Adult,Self-Employed,783,9224.666666666666,0.036481681867367444,1
Middle Adult,Self-Employed,817,7983.916666666666,0.011287029288702928,1
Middle Age,Employed,728,5036.333333333333,0.17639629525680606,1
Middle Age,Employed,823,8211.333333333334,0.19069664250850465,1
Middle Age,Unemployed,785,5012.333333333333,0.3877680946183012,1
Middle Adult,Self-Employed,568,1606.916666666667,0.0029725190612784804,0
Middle Age,Employed,841,2763.583333333333,0.19686578462720464,1
Early Retirement,Employed,593,-1281.25,0.23484593082057853,0
Middle Age,Self-Employed,727,3918.666666666667,0.33697971040806135,1
Middle Age,Employed,823,8717.666666666666,0.18235105799134094,1
Early Retirement,Employed,518,388.08333333333303,0.045086910953350864,0
Middle Adult,Self-Employed,561,86.0,0.30382411817491545,1
Middle Adult,Self-Employed,765,5611.916666666666,0.22803179956636954,0
Early Retirement,Self-Employed,455,944.833333333333,0.17707320134291363,0
Middle Adult,Self-Employed,773,7614.583333333334,0.1492627751969299,1
Middle Adult,Unemployed,823,1288.083333333333,0.17579204478596516,1
Middle Age,Employed,770,4144.0,0.19650689223057644,1
Middle Adult,Self-Employed,796,6591.75,0.02908407989239398,1
Middle Age,Unemployed,802,6528.0,0.031476545842217485,0
Middle Age,Self-Employed,725,8602.916666666666,0.08994109178414694,1
Middle Age,Self-Employed,798,1440.583333333333,0.11898282818804541,1
Middle Age,Self-Employed,793,-83.25,0.3861957656887876,1
Middle Age,Employed,713,8999.166666666666,0.1339520450529401,0
Middle Adult,Self-Employed,432,1724.416666666667,0.27359489146089644,0
Middle Adult,Self-Employed,708,4893.916666666666,0.1610182813496944,0
Middle Age,Employed,730,4548.333333333334,0.20230693407135003,1
Middle Age,Unemployed,463,-275.0833333333335,0.1443836479789154,1
Middle Adult,Employed,709,3846.0,0.01942651439920556,1
Middle Age,Employed,809,4317.333333333334,0.2128837822565455,1
Middle Adult,Employed,833,9598.083333333334,0.14150757103024464,1
Middle Age,Employed,773,5025.5,0.3402229394126668,1
Middle Adult,Self-Employed,475,1773.5,0.27580198664712585,0
Middle Adult,Self-Employed,440,683.9166666666665,0.20216435398509702,0
Middle Adult,Employed,721,7089.166666666666,0.0072930229836291015,0
Young Adult,Self-Employed,398,337.0,0.6418582110218776,0
Early Retirement,Unemployed,342,3991.166666666667,0.4055027324130524,0
Middle Adult,Self-Employed,734,10198.25,0.02977057736218332,1
Early Retirement,Self-Employed,440,3278.5,0.05562063175979071,1
Middle Adult,Self-Employed,745,1631.083333333333,0.15720300503591184,1
Middle Adult,Employed,461,403.6666666666665,0.7468715697036223,0
Middle Age,Employed,786,4335.333333333334,0.16113636363636363,1
Middle Adult,Employed,715,3296.666666666667,0.39297340351849286,0
Middle Adult,Unemployed,720,5949.166666666666,0.1268276231475787,0
Middle Adult,Self-Employed,762,7358.583333333334,0.19198691126552642,0
Middle Age,Self-Employed,572,664.5833333333335,0.8143985505194915,1
Middle Adult,Unemployed,569,1207.916666666667,0.2034447392840282,0
Middle Age,Unemployed,739,5857.25,0.059444814850091544,1
Middle Adult,Employed,791,7914.583333333334,0.07909153575445343,1
Middle Age,Unemployed,700,6219.0,0.2916869869137609,1
Middle Adult,Employed,808,9073.166666666666,0.05542079480838597,1
Middle Age,Employed,835,8517.083333333334,0.2528127239601772,1
Middle Age,Employed,780,7707.666666666666,0.11759981642955485,0
Middle Adult,Self-Employed,555,3617.5,0.22735496558505408,1
Middle Adult,Unemployed,772,5277.0,0.2858523257363721,1
Middle Age,Self-Employed,761,6199.583333333334,0.06650354084247939,1
Middle Adult,Employed,502,1711.916666666667,0.3223052969350173,0
Middle Age,Unemployed,843,3385.833333333333,0.03920860310667741,1
Middle Age,Unemployed,595,1921.5,0.2056637501176028,1
Young Adult,Self-Employed,556,1045.5833333333335,0.8225144268037093,0
Middle Adult,Self-Employed,800,2822.083333333333,0.016360484258679215,0
Middle Adult,Employed,760,2480.083333333333,0.09385318118830513,0
Middle Age,Self-Employed,787,9570.333333333334,0.010698369640435131,1
Middle Adult,Unemployed,820,9598.333333333334,0.12393322475570033,1
Middle Adult,Employed,774,2786.916666666667,0.19860737644282142,1
Middle Adult,Unemployed,837,6114.166666666666,0.13475204184116277,1
Middle Adult,Employed,760,3684.333333333333,0.175260257195346,1
Middle Age,Employed,726,10838.333333333334,0.07827160137417362,1
Middle Age,Employed,785,7768.75,0.162345166127076,1
Early Retirement,Employed,301,689.8333333333335,0.3835878674437402,0
Middle Adult,Unemployed,841,3391.083333333333,0.007352862133834991,1
Middle Adult,Employed,767,4942.25,0.007799294603047847,1
Middle Age,Employed,720,3435.166666666667,0.4172126265634306,0
Middle Age,Employed,476,2362.25,0.026981842499309464,0
Middle Adult,Employed,752,8855.5,0.11783802755110995,1
Middle Adult,Employed,843,5238.25,0.1842176582181531,1
Middle Age,Employed,535,-155.83333333333348,0.10711917996838187,0
Middle Adult,Employed,306,2961.0,0.39154583723105707,0
Middle Age,Employed,707,4559.75,0.06663853835040211,1
Middle Age,Unemployed,785,10394.25,0.1512538780683719,1
Middle Age,Self-Employed,782,8940.75,0.14746387845565595,1
Middle Adult,Employed,747,3807.583333333333,0.3891924178275917,1
Middle Adult,Employed,817,7189.916666666666,0.14222628430778142,1
Early Retirement,Self-Employed,500,129.16666666666652,0.05647183373265727,0
Middle Adult,Employed,704,8568.166666666666,0.14569739716443697,1
Middle Adult,Employed,768,4930.666666666667,0.3479234835137176,0
Middle Age,Employed,826,7894.166666666666,0.08171220076532883,1
Middle Age,Employed,772,9118.166666666666,0.07699154050892569,0
Middle Adult,Self-Employed,800,2294.083333333333,0.015170944386356014,1
Middle Adult,Employed,736,4564.25,0.2056879532510532,1
Middle Age,Employed,799,6335.333333333334,0.13917861799217732,1
Middle Adult,Unemployed,738,6152.75,0.04584976388686043,1
Middle Adult,Self-Employed,759,8754.083333333334,0.12259854785029069,1
Middle Age,Employed,762,2284.083333333333,0.2826737394985432,0
Middle Age,Employed,789,9075.416666666666,0.11001978273695902,1
Middle Age,Self-Employed,541,3369.083333333333,0.36868733497054856,0
Middle Adult,Unemployed,719,5923.166666666666,0.1757254630088145,1
Middle Age,Self-Employed,823,6845.5,0.050683894685624696,1
Middle Adult,Unemployed,836,9231.833333333334,0.09993124730185632,1
Early Retirement,Employed,571,1528.166666666667,0.12011964107676969,0
Middle Adult,Employed,507,1355.5,1.0764257677210807,1
Middle Age,Unemployed,831,4353.083333333333,0.2815287706479919,0
Middle Adult,Self-Employed,812,1852.25,0.18232028010958262,1
Middle Age,Unemployed,531,-1557.9166666666667,1.2237722069503139,0
Middle Age,Employed,803,2760.75,0.21767755054419388,1
Middle Age,Unemployed,841,-255.0,0.1863554107853782,1
Middle Age,Employed,727,7982.833333333334,0.02838198431309129,1
Middle Age,Self-Employed,767,6986.5,0.16936299292214357,1
Young Adult,Employed,308,3638.833333333333,0.3749649783644118,0
Young Adult,Employed,430,21.166666666666515,0.5021848739495798,0
Middle Adult,Employed,753,5894.416666666666,0.034022592539946654,1
Middle Adult,Unemployed,769,9140.833333333334,0.16211346624284062,1
Middle Adult,Unemployed,764,1587.333333333333,0.4716313269493844,1
Middle Adult,Employed,303,-1451.5833333333333,0.045049194054846135,0
Early Retirement,Employed,571,210.66666666666652,0.8795451144695496,0
Middle Age,Unemployed,395,-122.08333333333303,0.19775300936246099,0
Young Adult,Unemployed,530,2800.833333333333,0.35544322079797797,0
Middle Adult,Unemployed,774,8049.166666666666,0.22828976700407866,1
Middle Age,Unemployed,833,8442.25,0.07802134974898772,1
Middle Adult,Employed,745,3583.583333333333,0.266321173015207,1
Middle Adult,Unemployed,490,-618.8333333333335,0.8076923076923077,0
Middle Age,Unemployed,787,5848.333333333334,0.07626110799114665,1
Middle Age,Self-Employed,708,11769.583333333334,0.017491389635082923,1
Middle Adult,Unemployed,765,4887.583333333334,0.12977371618875816,1
Middle Age,Employed,750,7729.75,0.23715966284640105,1
Middle Adult,Employed,797,7061.916666666666,0.05509890548645529,1
Middle Age,Employed,782,7138.083333333334,0.17387711881402568,1
Middle Adult,Self-Employed,765,3139.333333333333,0.30033673368327224,1
Middle Adult,Self-Employed,757,8656.75,0.09927763163388868,1
Middle Adult,Employed,758,5189.0,0.19565362420360918,1
Middle Age,Unemployed,807,7517.083333333334,0.2748132914817621,1
Middle Age,Employed,387,1692.833333333333,0.2355942972876375,0
Middle Age,Employed,829,20.91666666666697,0.11213010278430839,0
Middle Age,Employed,703,5478.583333333333,0.1126143888609385,1
Middle Adult,Employed,408,781.75,0.059606911233229365,0
Middle Adult,Employed,715,4376.833333333334,0.06437381125120101,0
Middle Adult,Unemployed,461,3017.25,0.015048456028411485,0
Middle Age,Self-Employed,754,3540.333333333333,0.09573020437506419,1
Middle Age,Employed,709,6164.083333333333,0.005299262761905871,1
Middle Adult,Employed,720,6409.5,0.19060593073328028,0
Middle Adult,Self-Employed,712,6514.0,0.043996596620364876,1
Middle Age,Employed,813,2259.666666666667,0.2557730801152175,1
Middle Adult,Self-Employed,836,8416.166666666666,0.0921994401150034,1
Early Retirement,Unemployed,522,1608.5,0.3813741875580316,1
Middle Age,Unemployed,821,6227.5,0.2067230752166817,1
Early Retirement,Unemployed,413,758.6666666666665,0.5798384811561349,0
Middle Age,Employed,713,5891.916666666667,0.34010897661492906,1
Middle Adult,Unemployed,591,3428.5,0.1393530039104159,0
Middle Adult,Self-Employed,773,6301.833333333334,0.24154517677869924,0
Middle Age,Self-Employed,765,4500.0,0.279680576070901,1
Middle Adult,Employed,748,6781.25,0.21425648346419224,1
Middle Adult,Self-Employed,833,9672.416666666666,0.01797710156520089,1
Early Retirement,Employed,345,1328.5,0.4228340607298728,0
Middle Age,Employed,846,8984.833333333334,0.01994227014177774,1
Middle Adult,Unemployed,770,3768.333333333333,0.4022202535850728,1
Middle Adult,Employed,788,2370.833333333333,0.24492621242828191,0
Middle Adult,Self-Employed,750,6955.5,0.2311513216249778,1
Young Adult,Employed,391,2138.833333333333,0.17773880750979987,0
Middle Age,Employed,373,852.5,0.26604007571307353,0
Middle Adult,Employed,569,981.25,0.3461707797474221,0
Middle Age,Unemployed,839,9285.333333333334,0.19301888016609356,0
Middle Adult,Employed,728,4891.75,0.04141467727674624,1
Early Retirement,Employed,479,2069.25,0.2437977006109582,0
Middle Adult,Employed,721,8653.25,0.03936864550016902,1
Early Retirement,Self-Employed,493,1736.5,0.07926568714459455,0
Middle Adult,Unemployed,330,2288.0,0.09416929179792323,0
Middle Age,Unemployed,587,1580.6666666666665,0.25440658049353704,0
Middle Age,Unemployed,842,5187.5,0.0574168908948876,1
Middle Age,Employed,765,9277.666666666666,0.01014929482668951,1
Middle Age,Employed,475,1602.0,0.4594331900961735,0
Middle Adult,Unemployed,725,5114.416666666667,0.04189511388482964,1
Middle Age,Employed,715,2625.666666666667,0.1763889930269176,1
Middle Adult,Unemployed,797,8265.25,0.15400271943381727,1
Middle Age,Employed,519,329.75,0.5069682174457976,0
Middle Adult,Employed,759,5884.083333333333,0.030267791515364278,1
Middle Adult,Self-Employed,782,6239.0,0.0980658809307948,1
Middle Adult,Unemployed,792,11678.666666666666,0.09921621104951252,1
Middle Adult,Self-Employed,745,6273.666666666667,0.04731948804636561,1
Middle Age,Unemployed,422,1601.9166666666665,0.01617259444860239,0
Middle Adult,Employed,746,6221.833333333334,0.1974527023263586,1
Middle Age,Self-Employed,811,5633.75,0.16547641008072664,1
Middle Adult,Employed,405,1526.25,0.12093218559731261,0
Middle Adult,Self-Employed,814,4474.083333333333,0.1419307261000363,0
Middle Age,Unemployed,369,344.6666666666665,0.1220428088621855,0
Middle Age,Self-Employed,784,6690.166666666666,0.20741063998213816,0
Middle Adult,Employed,754,7585.083333333334,0.04642116368699447,0
Early Retirement,Employed,476,-576.3333333333335,0.6850100225507392,0
Middle Age,Employed,372,737.0833333333335,0.26344857046959386,0
Middle Age,Self-Employed,450,-860.1666666666665,0.6469422027335915,0
Middle Age,Unemployed,819,10034.75,0.08100680209788608,1
Middle Adult,Employed,768,6398.25,0.05117569472870333,1
Middle Age,Employed,308,2872.166666666667,0.4785996903492173,0
Middle Adult,Unemployed,722,7734.666666666666,0.1414415842725779,1
Middle Adult,Unemployed,493,3963.583333333333,0.4756547433332722,0
Young Adult,Self-Employed,580,3158.083333333333,0.08772577101745795,0
Early Retirement,Employed,316,415.25,0.5100320934635543,0
Middle Age,Self-Employed,766,7187.5,0.1768006017676926,1
Middle Age,Unemployed,822,6671.166666666666,0.0725635493856111,1
Middle Adult,Self-Employed,721,6607.666666666667,0.2823233252103545,1
Middle Adult,Unemployed,708,4545.083333333333,0.15306004436827772,1
Middle Adult,Employed,747,7966.916666666666,0.11098483075832838,1
Middle Age,Self-Employed,775,5402.75,0.10495835429593604,1
Middle Adult,Employed,820,6979.833333333334,0.07497946688568655,1
Middle Adult,Unemployed,838,4236.166666666667,0.2309389813885062,1
Middle Adult,Self-Employed,815,5050.083333333333,0.29317973497493466,1
Middle Age,Self-Employed,785,4345.333333333334,0.07025699321992611,1
Middle Adult,Employed,793,1510.583333333333,0.40007709990148344,1
Early Retirement,Self-Employed,411,2686.0,0.4088190555209846,0
Middle Adult,Self-Employed,748,9259.416666666666,0.09270665803575599,1
Middle Adult,Self-Employed,779,950.666666666667,0.36044907175112895,1
Middle Adult,Unemployed,783,5487.0,0.282947833536228,1
Middle Adult,Employed,435,1587.25,0.21891155423128836,0
Middle Adult,Unemployed,720,7528.583333333334,0.1879492992035,1
Middle Age,Self-Employed,788,5399.833333333333,0.0034025668875933765,1
Middle Adult,Employed,828,11537.416666666666,0.06214330579963664,1
Middle Adult,Employed,739,1718.5,0.27281191806331473,1
Middle Age,Self-Employed,719,-374.66666666666697,0.454145361577794,1
Middle Adult,Unemployed,823,2276.0,0.3840473311452755,1
Middle Age,Unemployed,702,2523.166666666667,0.011883753657828311,1
Early Retirement,Employed,487,254.83333333333303,0.14042153522875608,1
Early Retirement,Employed,581,-2211.9166666666665,0.8672217502124044,1
Middle Adult,Self-Employed,762,-120.41666666666697,0.13385668644454587,1
Middle Adult,Employed,768,5669.333333333333,0.13873415290049942,1
Young Adult,Self-Employed,472,2923.083333333333,0.39031513309785504,1
Middle Adult,Unemployed,723,4899.916666666666,0.08200704653140566,1
Middle Adult,Employed,701,7172.5,0.06852033836252577,1
Middle Age,Employed,721,5050.0,0.31268071045022716,0
Middle Adult,Unemployed,768,5153.25,0.25648346419224366,1
Early Retirement,Self-Employed,373,-2698.6666666666665,0.4706844288449266,0
Young Adult,Self-Employed,435,528.6666666666665,0.010723570190641248,0
Middle Age,Self-Employed,809,10388.416666666666,0.1413271015231904,1
Middle Adult,Employed,794,2339.416666666667,0.14473407757063017,1
Middle Adult,Employed,807,4550.333333333333,0.08875956916503472,1
Middle Age,Unemployed,724,9835.75,0.10004851416818701,1
Middle Adult,Employed,779,7243.083333333334,0.18453916165599205,1
Middle Adult,Employed,798,9009.083333333334,0.0640603717396638,1
Middle Adult,Self-Employed,368,1260.166666666667,0.23989427242736197,0
Middle Adult,Employed,834,3154.75,0.07669978787540471,0
Middle Adult,Employed,790,-156.08333333333303,0.14538175276459903,1
Middle Adult,Employed,319,655.0833333333333,0.3126314245195364,0
Middle Adult,Employed,391,1957.25,0.08388000062925732,0
Middle Age,Self-Employed,751,3601.25,0.38293423683286787,1
Middle Adult,Employed,733,7158.083333333334,0.07464395566565135,1
Middle Age,Self-Employed,701,8168.666666666666,0.08843346049345445,1
Middle Adult,Self-Employed,709,8558.416666666666,0.021899330982383308,0
Middle Adult,Unemployed,831,3035.833333333333,0.16680979698395795,1
Middle Adult,Unemployed,327,1781.75,0.21018479986436708,1
Middle Age,Employed,788,6741.75,0.009744240806449863,1
Middle Adult,Employed,806,6949.416666666666,0.1699684332442601,1
Middle Adult,Unemployed,802,1670.666666666667,0.32255642990267136,1
Middle Age,Employed,704,3508.583333333333,0.27598545885516973,1
Middle Age,Unemployed,336,1415.4166666666665,0.2621440770501442,0
Middle Adult,Unemployed,591,697.3333333333335,0.6404016757023164,0
Middle Adult,Employed,837,7652.25,0.0035790022474443245,1
Middle Adult,Employed,793,5551.75,0.21003398971881232,0
Middle Adult,Unemployed,769,7498.416666666667,0.18995961351669138,1
Middle Adult,Employed,847,9171.75,0.14776341048208919,1
Middle Adult,Employed,805,6465.75,0.03536434159561978,1
Middle Adult,Unemployed,749,6235.75,0.288569994389819,1
Middle Age,Employed,787,87.66666666666697,0.5290289033923833,1
Middle Adult,Employed,773,5737.666666666667,0.20759364026531407,1
Middle Age,Employed,717,2132.916666666667,0.22237814728391234,1
Middle Age,Employed,817,4871.666666666667,0.2430272722585967,1
Middle Age,Self-Employed,712,-696.916666666667,0.026607668466501627,1
Middle Age,Unemployed,768,9675.583333333334,0.17649975552142802,1
Middle Age,Self-Employed,742,6041.583333333334,0.18665178162308071,0
Middle Adult,Employed,845,1633.833333333333,0.3349341973220174,1
Middle Age,Unemployed,738,8678.75,0.021659606444207728,1
Middle Adult,Unemployed,775,10026.5,0.017775790863030612,1
Middle Adult,Unemployed,756,5145.166666666667,0.16240652898895955,0
Middle Age,Employed,741,10871.416666666666,0.17892907334360764,0
Young Adult,Self-Employed,515,-113.75,0.3996829447473224,0
Middle Adult,Employed,712,2275.583333333333,0.036889715788798356,1
Middle Adult,Employed,748,830.583333333333,0.3105258311078368,1
Middle Adult,Employed,722,6797.666666666666,0.0584975783667429,0
Middle Age,Employed,814,2825.25,0.34035609732687044,1
Middle Age,Unemployed,730,2999.25,0.3427453217347214,1
Middle Age,Self-Employed,406,2602.583333333333,0.04634531253121317,0
Middle Adult,Employed,835,-206.75,0.5520428693798681,1
Early Retirement,Self-Employed,414,-871.6666666666665,0.1719790675547098,0
Middle Age,Self-Employed,496,1203.5,0.16109860423232777,1
Middle Adult,Employed,776,9604.0,0.06790205259593014,1
Middle Adult,Unemployed,744,3255.833333333333,0.5026382153249273,1
Middle Age,Employed,753,5957.416666666666,0.2104077434751249,1
Middle Age,Employed,839,2461.416666666667,0.3763863350430659,1
Middle Adult,Self-Employed,805,7089.916666666666,0.0806826440076985,1
Middle Age,Self-Employed,836,5566.583333333333,0.08108251864302203,1
Middle Age,Unemployed,781,6698.0,0.03329232495899163,1
Middle Age,Employed,831,3576.5,0.1433636558985746,1
Middle Age,Employed,593,545.1666666666665,0.5307851878006797,0
Middle Adult,Employed,744,688.25,0.46764056395447595,1
Early Retirement,Unemployed,528,2443.9166666666665,0.6292902330860254,0
Middle Adult,Unemployed,829,6215.666666666666,0.0986625685329789,1
Middle Age,Employed,809,6155.166666666667,0.2725059308278187,1
Middle Age,Self-Employed,841,5625.25,0.04245822713112433,1
Middle Age,Employed,816,5795.583333333333,0.22820784266646293,1
Middle Age,Self-Employed,498,-376.25,0.3497208499015946,0
Middle Adult,Employed,381,146.91666666666652,0.32413663271069093,0
Middle Age,Employed,460,-1691.5833333333335,0.2207268687509919,0
Middle Adult,Employed,796,7354.333333333334,0.07689901425214392,1
Middle Age,Employed,818,2775.916666666667,0.1346151616008164,1
Middle Adult,Employed,565,996.8333333333333,0.8690843836073784,1
Early Retirement,Employed,596,3991.333333333333,0.23029717682020803,0
Early Retirement,Self-Employed,354,-288.58333333333303,0.07078448155741784,0
Middle Age,Employed,741,8035.166666666666,0.10954863677286715,1
Middle Age,Employed,729,6316.75,0.14785837290092674,0
Middle Adult,Self-Employed,367,252.66666666666652,0.8881401617250674,0
Middle Adult,Employed,818,5132.833333333333,0.3152568264273439,1
Middle Adult,Self-Employed,558,2273.666666666667,0.521517198052458,1
Early Retirement,Employed,437,1649.833333333333,0.39169229000833355,0
Middle Adult,Unemployed,790,6980.25,0.167852733191155,1
Middle Age,Unemployed,546,1905.916666666667,0.4639157894736842,0
Middle Age,Employed,463,2662.583333333333,0.06897403766391924,1
Middle Adult,Self-Employed,762,7123.333333333334,0.2027632561613144,0
Middle Age,Employed,448,379.9166666666665,0.028073191698391255,0
Middle Adult,Employed,720,5463.333333333333,0.04650218079192679,1
Early Retirement,Self-Employed,510,-15.41666666666697,0.14170740747277571,0
Middle Adult,Unemployed,733,2001.583333333333,0.3617148364850739,1
Early Retirement,Employed,396,-1653.0833333333335,0.06709307571857002,0
Middle Adult,Employed,724,-676.416666666667,0.10526105460866786,1
Middle Adult,Employed,727,6596.333333333334,0.007932988895743369,1
Middle Age,Self-Employed,480,391.08333333333303,0.36291210440979244,0
Middle Adult,Unemployed,796,3625.25,0.20299992891163718,1
Middle Adult,Employed,700,2104.583333333333,0.1816047294936479,1
Early Retirement,Self-Employed,462,-630.1666666666665,0.4530433215165535,0
Middle Adult,Self-Employed,503,-140.66666666666652,0.48388129803586677,1
Middle Adult,Self-Employed,747,5853.25,0.20996109614809114,1
Middle Age,Employed,807,726.333333333333,0.43879611767542803,1
Middle Adult,Employed,795,2920.416666666667,0.2805547496083096,1
Middle Adult,Employed,761,10189.916666666666,0.05449515069507964,1
Middle Adult,Employed,798,4938.833333333333,0.3753454870320221,1
Middle Adult,Unemployed,794,8717.333333333334,0.15069473125258126,1
Middle Adult,Self-Employed,475,4309.916666666667,0.4093298610549472,0
Middle Adult,Employed,436,1055.5,0.02186756144426281,0
Middle Adult,Self-Employed,496,2740.333333333333,0.3729612992398065,1
Middle Age,Self-Employed,816,3974.5,0.27741262065686945,1
Middle Adult,Employed,831,4332.166666666666,0.017238147016366397,0
Middle Age,Self-Employed,750,3106.833333333333,0.2633990410229089,1
Middle Adult,Employed,703,6370.916666666667,0.2106633209432126,1
Middle Adult,Employed,808,6812.833333333333,0.12732235720605053,1
Middle Adult,Unemployed,707,8637.916666666666,0.16389702457547506,1
Middle Age,Self-Employed,787,2262.25,0.2799051570835803,1
Middle Age,Employed,737,2353.083333333333,0.3027766038856464,1
Middle Adult,Self-Employed,358,857.3333333333335,0.5139391745112237,0
Middle Age,Employed,822,2056.75,0.07925224742513544,0
Middle Adult,Employed,826,4632.75,0.25260864982609,1
Middle Age,Employed,828,9497.583333333334,0.0006446351597996195,1
Middle Age,Unemployed,521,-861.9166666666665,0.7121549489095623,0
Middle Adult,Self-Employed,709,7829.0,0.26057141751779633,1
Early Retirement,Unemployed,535,960.75,0.7995012024583593,1
Young Adult,Employed,343,-171.41666666666652,0.38760055776037755,0
Middle Adult,Employed,746,5883.0,0.031644004944375775,1
Middle Age,Unemployed,717,855.166666666667,0.3455980932518993,1
Middle Age,Employed,785,7919.583333333334,0.17477178553737527,1
Middle Age,Unemployed,755,4764.833333333333,0.28337596457666103,1
Middle Adult,Self-Employed,494,1314.916666666667,0.4919680369058407,0
